,height,link,weight
128,6-1,/players/b/boyerke01.shtml,190lb
129,6-1,/players/b/breweto01.shtml,175lb
130,6-1,/players/b/bridgma01.shtml,165lb
131,6-3,/players/b/bunniji01.shtml,190lb
132,5-10,/players/c/caffijo01.shtml,180lb
133,6-1,/players/c/careyan01.shtml,190lb
134,6-0,/players/c/castlfo01.shtml,175lb
135,6-3,/players/c/chrisne01.shtml,187lb
136,6-5,/players/c/cohenhy01.shtml,220lb
137,6-2,/players/c/colemri01.shtml,185lb
138,5-9,/players/c/colesch01.shtml,180lb
139,6-2,/players/c/coxgl01.shtml,210lb
140,6-2,/players/c/cronera01.shtml,165lb
141,6-0,/players/c/cunnijo01.shtml,180lb
142,6-0,/players/d/dietzro01.shtml,190lb
143,6-0,/players/d/dottedu01.shtml,209lb
144,6-0,/players/d/dunnji01.shtml,185lb
145,6-1,/players/d/durhajo02.shtml,186lb
146,6-0,/players/e/erickdo01.shtml,175lb
147,5-9,/players/e/espossa01.shtml,165lb
148,5-11,/players/e/essegch01.shtml,200lb
149,6-5,/players/f/fishema01.shtml,210lb
150,6-0,/players/f/fodgege01.shtml,175lb
151,5-11,/players/g/graydi01.shtml,165lb
152,5-11,/players/g/grossdo01.shtml,186lb
153,6-0,/players/h/harriga01.shtml,195lb
154,6-3,/players/h/hernaru01.shtml,185lb
155,6-1,/players/h/hertwne01.shtml,175lb
156,5-11,/players/h/herzowh01.shtml,182lb
157,5-11,/players/i/izquiha01.shtml,175lb
158,6-1,/players/j/jacksla01.shtml,175lb
159,6-2,/players/j/johnsbe01.shtml,190lb
160,6-0,/players/k/kaskoed01.shtml,180lb
161,6-3,/players/k/keriagu01.shtml,187lb
162,6-4,/players/k/kippfr01.shtml,200lb
163,6-2,/players/k/kirrejo01.shtml,195lb
164,6-1,/players/k/krsnimi01.shtml,190lb
165,6-2,/players/l/leppedo02.shtml,220lb
166,5-9,/players/m/malkmbo01.shtml,175lb
167,5-11,/players/m/mantlmi01.shtml,195lb
168,6-1,/players/m/marshji01.shtml,190lb
169,6-0,/players/m/masonha01.shtml,185lb
170,6-1,/players/m/matheed01.shtml,190lb
171,6-2,/players/m/mayered02.shtml,185lb
172,5-10,/players/m/mayswi01.shtml,170lb
173,6-3,/players/m/minnido01.shtml,195lb
174,6-0,/players/m/monroza01.shtml,198lb
175,5-10,/players/m/mortobu01.shtml,175lb
176,5-11,/players/m/murphdi01.shtml,170lb
177,6-1,/players/n/natonpe01.shtml,200lb
178,5-10,/players/n/nealch01.shtml,165lb
179,6-1,/players/n/nichoch02.shtml,165lb
180,5-8,/players/o/oertech01.shtml,165lb
181,5-6,/players/p/pascuca01.shtml,165lb
182,6-1,/players/p/pawlost01.shtml,175lb
183,6-1,/players/p/pensopa01.shtml,185lb
184,5-11,/players/p/peppela01.shtml,190lb
185,6-2,/players/p/pettipa01.shtml,195lb
186,6-0,/players/p/philldi01.shtml,180lb
187,5-10,/players/p/pitulst01.shtml,170lb
188,6-0,/players/p/porteda01.shtml,164lb
189,6-3,/players/p/portoar01.shtml,196lb
190,5-11,/players/p/prescbo01.shtml,180lb
191,6-5,/players/p/pyechjo01.shtml,200lb
192,6-2,/players/r/randdi01.shtml,185lb
193,6-2,/players/r/roebued01.shtml,185lb
194,5-11,/players/r/roselbo01.shtml,185lb
195,5-11,/players/r/rudoldo01.shtml,195lb
196,5-11,/players/s/sadowed01.shtml,175lb
197,5-10,/players/s/schypje01.shtml,170lb
198,6-0,/players/s/segrika01.shtml,180lb
199,5-11,/players/s/semprra01.shtml,180lb
200,6-1,/players/s/senerso01.shtml,195lb
201,6-2,/players/s/shepaja01.shtml,195lb
202,5-11,/players/s/sherrno01.shtml,180lb
203,5-11,/players/s/shoopro01.shtml,180lb
204,6-4,/players/s/sisleda01.shtml,200lb
205,6-4,/players/s/skinnbo01.shtml,190lb
206,5-10,/players/s/smithha09.shtml,186lb
207,5-8,/players/s/smithpa03.shtml,165lb
208,5-11,/players/s/snydege02.shtml,175lb
209,6-0,/players/s/spoonka01.shtml,185lb
210,6-6,/players/s/stankjo01.shtml,201lb
211,6-0,/players/s/stewabu02.shtml,154lb
212,6-3,/players/t/tappete01.shtml,185lb
213,5-11,/players/t/thronfa01.shtml,185lb
214,6-1,/players/t/tomandi01.shtml,175lb
215,6-4,/players/t/torrefr01.shtml,200lb
216,6-2,/players/u/umphlto01.shtml,180lb
217,6-0,/players/v/virdobi01.shtml,175lb
218,5-10,/players/w/willbo01.shtml,175lb
219,6-0,/players/w/willeca01.shtml,175lb
220,6-2,/players/w/willido01.shtml,180lb
221,6-3,/players/w/wittge01.shtml,185lb
222,5-9,/players/z/zimmedo01.shtml,165lb
223,6-0,/players/a/altobjo01.shtml,185lb
224,6-3,/players/a/amorvi01.shtml,182lb
225,6-0,/players/a/archeji02.shtml,190lb
226,5-9,/players/b/barondi01.shtml,165lb
227,5-11,/players/b/barracu01.shtml,180lb
228,5-10,/players/b/bartito01.shtml,155lb
229,6-3,/players/b/blackbu01.shtml,197lb
230,5-10,/players/b/blasido01.shtml,160lb
231,6-2,/players/b/bolgeji01.shtml,180lb
232,6-1,/players/b/bressed01.shtml,175lb
233,6-1,/players/b/brododi01.shtml,182lb
234,6-2,/players/c/chitiha01.shtml,221lb
235,6-3,/players/c/clarkph01.shtml,210lb
236,6-1,/players/c/clevete01.shtml,180lb
237,6-4,/players/c/coateji01.shtml,192lb
238,6-1,/players/c/covinwe01.shtml,205lb
239,5-11,/players/c/craddwa01.shtml,176lb
240,6-1,/players/d/daleybu01.shtml,185lb
241,6-1,/players/d/daniebe02.shtml,193lb
242,6-0,/players/d/donneed02.shtml,175lb
243,6-1,/players/d/duserca01.shtml,175lb
244,6-0,/players/f/fernach01.shtml,165lb
245,5-11,/players/f/fornimi01.shtml,155lb
246,6-2,/players/g/gastato01.shtml,187lb
247,5-11,/players/g/gielpa01.shtml,185lb
248,6-0,/players/g/grobco01.shtml,180lb
249,5-10,/players/h/heldwo01.shtml,167lb
250,6-0,/players/h/hershea01.shtml,205lb
251,6-3,/players/h/hoeftbi01.shtml,180lb
252,5-11,/players/j/johnsfo01.shtml,175lb
253,6-0,/players/k/kingji01.shtml,185lb
254,6-3,/players/k/klinero01.shtml,205lb
255,6-1,/players/k/korchst01.shtml,205lb
256,6-4,/players/k/koskibi01.shtml,185lb
